player_id,full_name,nhl_player_id,old_team,new_team,move_type,event_date,url_1,url_2,status
385,Nick Bjugstad,8475760,Blues,Devils,,,,,needs_date
387,Connor Brown,8477015,Oilers,Devils,,,,,needs_date
389,Evgenii Dadonov,8474149,Stars,Devils,,,,,needs_date
394,Zack MacEwen,8479772,Senators,Devils,,,,,needs_date
398,Maxim Tsyplakov,8484958,Islanders,Devils,,,,,needs_date
411,Emil Heineman,8482476,Canadiens,Islanders,,,,,needs_date
417,Ondrej Palat,8476292,Devils,Islanders,,,,,needs_date
419,Brayden Schenn,8475170,Blues,Islanders,,,,,needs_date
428,Carson Soucy,8477369,Rangers,Islanders,,,,,needs_date
433,Tye Kartye,8481789,Kraken,Rangers,,,,,needs_date
438,Taylor Raddysh,8479390,Capitals,Rangers,,,,,needs_date
440,Conor Sheary,8477839,Lightning,Rangers,,,,,needs_date
447,Vladislav Gavrikov,8478882,Kings,Rangers,,,,,needs_date
448,Vincent Iorio,8482861,Sharks,Rangers,,,,,needs_date
457,Lars Eller,8474189,Capitals,Senators,,,,,needs_date
458,Warren Foegele,8477998,Kings,Senators,,,,,needs_date
463,Arthur Kaliyev,8481560,Rangers,Senators,,,,,needs_date
464,Kurtis MacDermid,8477073,Devils,Senators,,,,,needs_date
470,Cameron Crotty,8480075,Wild,Senators,,,,,needs_date
476,Jordan Spence,8481606,Kings,Senators,,,,,needs_date
485,Christian Dvorak,8477989,Canadiens,Flyers,,,,,needs_date
488,Luke Glendening,8476822,Lightning,Devils,,,,,needs_date
488,Luke Glendening,8476822,Devils,Flyers,,,,,needs_date
489,Nikita Grebenkin,8483733,Maple Leafs,Flyers,,,,,needs_date
490,Carl Grundstrom,8479336,Sharks,Flyers,,,,,needs_date
498,Trevor Zegras,8481533,Ducks,Flyers,,,,,needs_date
504,David Jiricek,8483460,Wild,Flyers,,,,,needs_date
505,Noah Juulsen,8478454,Canucks,Flyers,,,,,needs_date
512,Justin Brazeau,8479638,Wild,Penguins,,,,,needs_date
513,Egor Chinakhov,8482475,Blue Jackets,Penguins,,,,,needs_date
522,Anthony Mantha,8477511,Flames,Penguins,,,,,needs_date
526,Elmer Soderblom,8481725,Red Wings,Penguins,,,,,needs_date
527,Connor Clifton,8477365,Sabres,Penguins,,,,,needs_date
528,Samuel Girard,8479398,Avalanche,Penguins,,,,,needs_date
534,Ilya Solovyov,8482470,Flames,Avalanche,,,,,needs_date
534,Ilya Solovyov,8482470,Avalanche,Penguins,,,,,needs_date
536,Parker Wotherspoon,8478450,Bruins,Penguins,,,,,needs_date
540,Adam Gaudette,8478874,Senators,Sharks,,,,,needs_date
543,Philipp Kurashev,8480798,Blackhawks,Sharks,,,,,needs_date
546,Ryan Reaves,8471817,Maple Leafs,Sharks,,,,,needs_date
548,Kiefer Sherwood,8480748,Canucks,Sharks,,,,,needs_date
555,John Klingberg,8475906,Oilers,Sharks,,,,,needs_date
556,Nick Leddy,8475181,Blues,Sharks,,,,,needs_date
558,Dmitry Orlov,8475200,Hurricanes,Sharks,,,,,needs_date
