player_id,full_name,position,group,line_slot,team_code,nhl_team_code,team_slug,team_city,nhl_player_id,wikipedia_slug,capwages_slug,roster_source,fetch_date
93,Gabe Perreault,R,f1,f1:R,NYR,NYR,new-york-rangers,New York Rangers,8484210,Gabe_Perreault,gabe-perreault,nhl_toi_position,2026-05-28
94,Vladislav Gavrikov,D,d1,d1:D,NYR,NYR,new-york-rangers,New York Rangers,8478882,Vladislav_Gavrikov,vladislav-gavrikov,nhl_toi_position,2026-05-28
95,Adam Fox,D,d1,d1:D,NYR,NYR,new-york-rangers,New York Rangers,8479323,Adam_Fox,adam-fox,nhl_toi_position,2026-05-28
96,Brady Tkachuk,L,f1,f1:L,OTT,OTT,ottawa-senators,Ottawa,8480801,Brady_Tkachuk,brady-tkachuk,nhl_toi_position,2026-05-28
97,Tim Stützle,C,f1,f1:C,OTT,OTT,ottawa-senators,Ottawa,8482116,Tim_Stützle,tim-stützle,nhl_toi_position,2026-05-28
98,Drake Batherson,R,f1,f1:R,OTT,OTT,ottawa-senators,Ottawa,8480208,Drake_Batherson,drake-batherson,nhl_toi_position,2026-05-28
99,Jake Sanderson,D,d1,d1:D,OTT,OTT,ottawa-senators,Ottawa,8482105,Jake_Sanderson,jake-sanderson,nhl_toi_position,2026-05-28
100,Thomas Chabot,D,d1,d1:D,OTT,OTT,ottawa-senators,Ottawa,8478469,Thomas_Chabot,thomas-chabot,nhl_toi_position,2026-05-28
101,Noah Cates,L,f1,f1:L,PHI,PHI,philadelphia-flyers,Philadelphia,8480220,Noah_Cates,noah-cates,nhl_toi_position,2026-05-28
102,Trevor Zegras,C,f1,f1:C,PHI,PHI,philadelphia-flyers,Philadelphia,8481533,Trevor_Zegras,trevor-zegras,nhl_toi_position,2026-05-28
103,Travis Konecny,R,f1,f1:R,PHI,PHI,philadelphia-flyers,Philadelphia,8478439,Travis_Konecny,travis-konecny,nhl_toi_position,2026-05-28
104,Travis Sanheim,D,d1,d1:D,PHI,PHI,philadelphia-flyers,Philadelphia,8477948,Travis_Sanheim,travis-sanheim,nhl_toi_position,2026-05-28
105,Cam York,D,d1,d1:D,PHI,PHI,philadelphia-flyers,Philadelphia,8481546,Cam_York,cam-york,nhl_toi_position,2026-05-28
106,Elmer Soderblom,L,f1,f1:L,PIT,PIT,pittsburgh-penguins,Pittsburgh,8481725,Elmer_Soderblom,elmer-soderblom,nhl_toi_position,2026-05-28
107,Sidney Crosby,C,f1,f1:C,PIT,PIT,pittsburgh-penguins,Pittsburgh,8471675,Sidney_Crosby,sidney-crosby,nhl_toi_position,2026-05-28
108,Bryan Rust,R,f1,f1:R,PIT,PIT,pittsburgh-penguins,Pittsburgh,8475810,Bryan_Rust,bryan-rust,nhl_toi_position,2026-05-28
109,Erik Karlsson,D,d1,d1:D,PIT,PIT,pittsburgh-penguins,Pittsburgh,8474578,Erik_Karlsson,erik-karlsson,nhl_toi_position,2026-05-28
110,Kris Letang,D,d1,d1:D,PIT,PIT,pittsburgh-penguins,Pittsburgh,8471724,Kris_Letang,kris-letang,nhl_toi_position,2026-05-28
