player_id,full_name,nhl_player_id,jersey_list_member,jersey_rank,asg2024_member,asg2024_votes,asg_fanvote_seasons,match_note
219,Ilya Lyubushkin,8480950,0,,0,,,
220,Tyler Myers,8474574,0,,0,,,
221,Alexander Petrovic,8475755,0,,0,,,
222,Mason Appleton,8478891,0,,0,,,
223,J.T. Compher,8477456,0,,0,,,
224,Andrew Copp,8477429,0,,0,,,
225,Alex DeBrincat,8479337,0,,0,,,
226,Emmitt Finnie,8484471,0,,0,,,
227,Patrick Kane,8474141,0,,0,,,
228,Marco Kasper,8483464,0,,0,,,
229,Dylan Larkin,8477946,0,,0,,,
230,David Perron,8474102,0,,0,,,
231,Michael Rasmussen,8479992,0,,0,,,
232,Lucas Raymond,8482078,0,,0,,,
233,James van Riemsdyk,8474037,0,,0,,,
234,Jacob Bernard-Docker,8480879,0,,0,,,
235,Ben Chiarot,8475279,0,,0,,,
236,Simon Edvinsson,8482762,0,,0,,,
237,Justin Faulk,8475753,0,,0,,,
238,Travis Hamonic,8474612,0,,0,,,
239,Albert Johansson,8481607,0,,0,,,
240,Moritz Seider,8481542,0,,0,,,
241,Colton Dach,8482703,0,,0,,,
242,Jason Dickinson,8477450,0,,0,,,
243,Leon Draisaitl,8477934,0,,1,,"2023,2024",
244,Trent Frederic,8479365,0,,0,,,
245,Adam Henrique,8474641,0,,0,,,
246,Zach Hyman,8475786,0,,0,,,
247,Mattias Janmark,8477406,0,,0,,,
248,Max Jones,8479368,0,,0,,,
249,Kasperi Kapanen,8477953,0,,0,,,
250,Curtis Lazar,8477508,0,,0,,,
251,Connor McDavid,8478402,1,5,1,,2022,
252,Ryan Nugent-Hopkins,8476454,0,,0,,,
253,Vasily Podkolzin,8481617,0,,0,,,
254,Jack Roslovic,8478458,0,,0,,,
255,Josh Samanski,8484509,0,,0,,,
256,Matt Savoie,8483512,0,,0,,,
257,Evan Bouchard,8480803,0,,0,,,
258,Mattias Ekholm,8475218,0,,0,,,
259,Ty Emberson,8480834,0,,0,,,
260,Connor Murphy,8476473,0,,0,,,
261,Darnell Nurse,8477498,0,,0,,,
262,Spencer Stastney,8481056,0,,0,,,
263,Jake Walman,8478013,0,,0,,,
264,Aleksander Barkov,8477493,0,,0,,,
265,Sam Bennett,8477935,0,,0,,,
266,Jesper Boqvist,8480003,0,,0,,,
267,Jonah Gadjovich,8479981,0,,0,,,
268,A.J. Greer,8478421,0,,0,,,
269,Vinnie Hinostroza,8476994,0,,0,,,
270,Luke Kunin,8479316,0,,0,,,
271,Anton Lundell,8482113,0,,0,,,
272,Eetu Luostarinen,8480185,0,,0,,,
273,Brad Marchand,8473419,1,,0,,,
274,Tomas Nosek,8477931,0,,0,,,
275,Cole Reinhardt,8481133,0,,0,,,
276,Sam Reinhart,8477933,0,,0,,,
277,Evan Rodrigues,8478542,0,,0,,,
278,Mackie Samoskevich,8482713,0,,0,,,
279,Cole Schwindt,8481655,0,,0,,,
280,Matthew Tkachuk,8479314,0,,0,,,
281,Carter Verhaeghe,8477409,0,,0,,,
282,Uvis Balinskis,8484304,0,,0,,,
283,Aaron Ekblad,8477932,0,,0,,,
284,Gustav Forsling,8478055,0,,0,,,
285,Seth Jones,8477495,0,,0,,,
286,Dmitry Kulikov,8475179,0,,0,,,
287,Niko Mikkola,8478859,0,,0,,,
288,Donovan Sebrango,8482131,0,,0,,,
289,Joel Armia,8476469,0,,0,,,
290,Quinton Byfield,8482124,0,,0,,,
291,Kevin Fiala,8477942,0,,0,,,
292,Samuel Helenius,8482726,0,,0,,,
293,Mathieu Joseph,8478472,0,,0,,,
294,Adrian Kempe,8477960,0,,0,,,
295,Anze Kopitar,8471685,0,,0,,,
296,Andrei Kuzmenko,8483808,0,,0,,,
297,Alex Laferriere,8482155,0,,0,,,
298,Scott Laughton,8476872,0,,0,,,
299,Jeff Malott,8482408,0,,0,,,
300,Trevor Moore,8479675,0,,0,,,
301,Artemi Panarin,8478550,1,,1,,2023,
302,Alex Turcotte,8481532,0,,0,,,
303,Taylor Ward,8483406,0,,0,,,
304,Jared Wright,8483756,0,,0,,,
305,Mikey Anderson,8479998,0,,0,,,
306,Cody Ceci,8476879,0,,0,,,
307,Brandt Clarke,8482730,0,,0,,,
308,Drew Doughty,8474563,0,,0,,,
309,Brian Dumoulin,8475208,0,,0,,,
310,Joel Edmundson,8476441,0,,0,,,
311,Jacob Moverare,8479421,0,,0,,,
312,Nicolas Aube-Kubel,8477979,0,,0,,,
313,Matt Boldy,8481557,0,,0,,,
314,Bobby Brink,8481553,0,,0,,,
315,Joel Eriksson Ek,8478493,0,,0,,,
316,Robby Fabbri,8477952,0,,0,,,
317,Marcus Foligno,8475220,0,,0,,,
318,Nick Foligno,8473422,0,,0,,,
319,Hunter Haight,8483452,0,,0,,,
320,Ryan Hartman,8477451,0,,0,,,
321,Marcus Johansson,8475149,0,,0,,,
322,Ben Jones,8480259,0,,0,,,
323,Kirill Kaprizov,8478864,1,,0,,,
324,Michael McCarron,8477446,0,,0,,,
325,Nico Sturm,8481477,0,,0,,,
326,Vladimir Tarasenko,8475765,0,,0,,,
327,Yakov Trenin,8478508,0,,0,,,
328,Danila Yurov,8483525,0,,0,,,
329,Mats Zuccarello,8475692,0,,0,,,
330,Zach Bogosian,8474567,0,,0,,,
331,Jonas Brodin,8476463,0,,0,,,
332,Brock Faber,8482122,0,,0,,,
333,Viking Gustafsson Nyberg,8486166,0,,0,,,
334,Quinn Hughes,8480800,0,,0,,,
335,Daemon Hunt,8482094,0,,0,,,
336,Matt Kiersted,8482641,0,,0,,,
337,Carson Lambos,8482781,0,,0,,,
338,Jake Middleton,8478136,0,,0,,,
339,Jeff Petry,8473507,0,,0,,,
340,David Spacek,8483766,0,,0,,,
341,Jared Spurgeon,8474716,0,,0,,,
342,Josh Anderson,8476981,0,,0,,,
343,Owen Beck,8483424,0,,0,,,
344,Zachary Bolduc,8482737,0,,0,,,
345,Cole Caufield,8481540,0,,0,,,
346,Kirby Dach,8481523,0,,0,,,
347,Phillip Danault,8476479,0,,0,,,
348,Ivan Demidov,8484984,0,,0,,,
349,Jake Evans,8478133,0,,0,,,
350,Brendan Gallagher,8475848,0,,0,,,
351,Oliver Kapanen,8482775,0,,0,,,
352,Patrik Laine,8479339,0,,0,,,
353,Alex Newhook,8481618,0,,0,,,
354,Juraj Slafkovský,8483515,0,,0,,,
355,Nick Suzuki,8480018,0,,0,,,
356,Alexandre Texier,8480074,0,,0,,,
357,Joe Veleno,8480813,0,,0,,,
358,Florian Xhekaj,8484403,0,,0,,,
359,Alexandre Carrier,8478851,0,,0,,,
360,Noah Dobson,8480865,0,,0,,,
361,Adam Engstrom,8483686,0,,0,,,
362,Kaiden Guhle,8482087,0,,0,,,
363,Lane Hutson,8483457,0,,0,,,
364,Mike Matheson,8476875,0,,0,,,
365,David Reinbacher,8484220,0,,0,,,
366,Jayden Struble,8481593,0,,0,,,
367,Arber Xhekaj,8482964,0,,0,,,
369,Luke Evangelista,8482146,0,,0,,,
370,Filip Forsberg,8476887,0,,0,,,
371,Erik Haula,8475287,0,,0,,,
372,Tyson Jost,8479370,0,,0,,,
373,Jonathan Marchessault,8476539,0,,0,,,
374,Ryan O'Reilly,8475158,0,,0,,,
375,Steven Stamkos,8474564,0,,1,,2022,
376,Fedor Svechkov,8482768,0,,0,,,
377,Ozzy Wiesblatt,8482103,0,,0,,,
378,Matthew Wood,8484241,0,,0,,,
379,Justin Barron,8482111,0,,0,,,
380,Nicolas Hague,8479980,0,,0,,,
381,Roman Josi,8474600,0,,0,,,
382,Nick Perbix,8480246,0,,0,,,
383,Brady Skjei,8476869,0,,0,,,
384,Adam Wilsby,8482482,0,,0,,,
385,Nick Bjugstad,8475760,0,,0,,,
386,Jesper Bratt,8479407,0,,0,,,
387,Connor Brown,8477015,0,,0,,,
388,Paul Cotter,8481032,0,,0,,,
389,Evgenii Dadonov,8474149,0,,0,,,
390,Cody Glass,8479996,0,,0,,,
391,Arseny Gritsyuk,8481721,0,,0,,,
392,Nico Hischier,8480002,0,,0,,,
393,Jack Hughes,8481559,1,4,0,,,
394,Zack MacEwen,8479772,0,,0,,,
395,Timo Meier,8478414,0,,0,,,
396,Dawson Mercer,8482110,0,,0,,,
397,Stefan Noesen,8476474,0,,0,,,
398,Maxim Tsyplakov,8484958,0,,0,,,
399,Dennis Cholowski,8479395,0,,0,,,
400,Brenden Dillon,8475455,0,,0,,,
401,Dougie Hamilton,8476462,0,,0,,,
402,Luke Hughes,8482684,0,,0,,,
403,Johnathan Kovacevic,8480192,0,,0,,,
404,Simon Nemec,8483495,0,,0,,,
405,Brett Pesce,8477488,0,,0,,,
406,Jonas Siegenthaler,8478399,0,,0,,,
407,Mathew Barzal,8478445,0,,0,,,
408,Casey Cizikas,8475231,0,,0,,,
409,Anthony Duclair,8477407,0,,0,,,
410,Marc Gatcomb,8483553,0,,0,,,
411,Emil Heineman,8482476,0,,0,,,
412,Simon Holmstrom,8481601,0,,0,,,
413,Bo Horvat,8477500,0,,1,,2023,
414,Anders Lee,8475314,0,,0,,,
415,Kyle MacLean,8481237,0,,0,,,
416,Jean-Gabriel Pageau,8476419,0,,0,,,
417,Ondrej Palat,8476292,0,,0,,,
418,Kyle Palmieri,8475151,0,,0,,,
419,Brayden Schenn,8475170,0,,0,,,
420,Max Shabanov,8485702,0,,0,,,
421,Adam Boqvist,8480871,0,,0,,,
422,Tony DeAngelo,8477950,0,,0,,,
423,Scott Mayfield,8476429,0,,0,,,
424,Adam Pelech,8476917,0,,0,,,
425,Ryan Pulock,8477506,0,,0,,,
426,Alexander Romanov,8481014,0,,0,,,
427,Matthew Schaefer,8485366,0,,0,,,
428,Carson Soucy,8477369,0,,0,,,
429,Jonny Brodzinski,8477380,0,,0,,,
430,Jaroslav Chmelar,8482877,0,,0,,,
431,Will Cuylle,8482157,0,,0,,,
432,Adam Edstrom,8481726,0,,0,,,
433,Tye Kartye,8481789,0,,0,,,
434,Noah Laba,8483690,0,,0,,,
435,Alexis Lafrenière,8482109,0,,0,,,
436,J.T. Miller,8476468,0,,1,,2024,
437,Gabe Perreault,8484210,0,,0,,,
438,Taylor Raddysh,8479390,0,,0,,,
439,Matt Rempe,8482460,0,,0,,,
440,Conor Sheary,8477839,0,,0,,,
441,Adam Sykora,8483669,0,,0,,,
442,Vincent Trocheck,8476389,0,,0,,,
443,Mika Zibanejad,8476459,1,,1,,2022,
