team_code,first_name,last_name,position,wikipedia_slug,wiki_12mo
OTT,Fabian,Zetterlund,L,Fabian_Zetterlund,19690
OTT,Thomas,Chabot,D,Thomas_Chabot,28971
OTT,Cameron,Crotty,D,Cameron_Crotty,8514
OTT,Dennis,Gilbert,D,Dennis_Gilbert,884
OTT,Nick,Jensen,D,Nick_Jensen,17985
OTT,Tyler,Kleven,D,Tyler_Kleven,13305
OTT,Nikolas,Matinpalo,D,Nikolas_Matinpalo,11621
OTT,Jake,Sanderson,D,Jake_Sanderson,92031
OTT,Jordan,Spence,D,Jordan_Spence,311845
OTT,Lassi,Thomson,D,Lassi_Thomson,9424
OTT,Carter,Yakemchuk,D,Carter_Yakemchuk,28584
OTT,Artem,Zub,D,Artem_Zub,13791
OTT,Leevi,Meriläinen,G,Leevi_Meriläinen,12001
OTT,James,Reimer,G,James_Reimer,90097
OTT,Linus,Ullmark,G,Linus_Ullmark,101465
PIT,Noel,Acciari,C,Noel_Acciari,26605
PIT,Justin,Brazeau,R,Justin_Brazeau,53031
PIT,Egor,Chinakhov,R,Egor_Chinakhov,29653
PIT,Sidney,Crosby,C,Sidney_Crosby,1940517
PIT,Connor,Dewar,C,Connor_Dewar,26701
PIT,Filip,Hallander,C,Filip_Hallander,439
PIT,Kevin,Hayes,R,Kevin_Hayes,55075
PIT,Ben,Kindel,C,Ben_Kindel,79124
PIT,Ville,Koivunen,R,Ville_Koivunen,14810
PIT,Blake,Lizotte,C,Blake_Lizotte,19317
PIT,Evgeni,Malkin,C,Evgeni_Malkin,306489
PIT,Anthony,Mantha,R,Anthony_Mantha,78917
PIT,Tommy,Novak,C,Tommy_Novak,24417
PIT,Rickard,Rakell,R,Rickard_Rakell,35177
PIT,Bryan,Rust,R,Bryan_Rust,52751
PIT,Elmer,Soderblom,L,Elmer_Soderblom,672
PIT,Connor,Clifton,D,Connor_Clifton,28033
PIT,Samuel,Girard,D,Samuel_Girard,3954
PIT,Ryan,Graves,D,Ryan_Graves,4065
