player_id,full_name,nhl_player_id,team_code,season,position,age,ppg,toi_per_game,games_played,fetch_date
53,Jordan Greenway,8478413,BUF,20242025,L,27,0.2353,15.067,34,2026-08-07
53,Jordan Greenway,8478413,BUF,20252026,L,28,0.15,12.45,40,2026-08-07
54,Konsta Helenius,8484797,BUF,20232024,C,17,,,,2026-08-07
54,Konsta Helenius,8484797,BUF,20242025,C,18,,,,2026-08-07
54,Konsta Helenius,8484797,BUF,20252026,C,19,0.4444,11.917,9,2026-08-07
55,Tyson Kozak,8482896,BUF,20232024,C,21,,,,2026-08-07
55,Tyson Kozak,8482896,BUF,20242025,C,22,0.2381,10.483,21,2026-08-07
55,Tyson Kozak,8482896,BUF,20252026,C,23,0.1304,11.283,46,2026-08-07
56,Peyton Krebs,8481522,BUF,20232024,C,23,0.2125,12.5,80,2026-08-07
56,Peyton Krebs,8481522,BUF,20242025,C,24,0.3457,13.933,81,2026-08-07
56,Peyton Krebs,8481522,BUF,20252026,C,25,0.4756,13.767,82,2026-08-07
57,Jiri Kulich,8483468,BUF,20232024,C,19,0.0,14.883,1,2026-08-07
57,Jiri Kulich,8483468,BUF,20242025,C,20,0.3871,14.8,62,2026-08-07
57,Jiri Kulich,8483468,BUF,20252026,C,21,0.4167,16.367,12,2026-08-07
58,Beck Malenstyn,8479359,BUF,20232024,L,25,0.2593,14.25,81,2026-08-07
58,Beck Malenstyn,8479359,BUF,20242025,L,26,0.1316,10.533,76,2026-08-07
58,Beck Malenstyn,8479359,BUF,20252026,L,27,0.1728,11.25,81,2026-08-07
59,Ryan McLeod,8480802,BUF,20232024,C,24,0.3704,14.25,81,2026-08-07
59,Ryan McLeod,8480802,BUF,20242025,C,25,0.6709,16.833,79,2026-08-07
59,Ryan McLeod,8480802,BUF,20252026,C,26,0.6667,17.617,81,2026-08-07
60,Josh Norris,8480064,BUF,20232024,C,24,0.6,17.633,50,2026-08-07
60,Josh Norris,8480064,BUF,20242025,C,25,0.625,18.348,56,2026-08-07
60,Josh Norris,8480064,BUF,20252026,C,26,0.7727,15.833,44,2026-08-07
61,Noah Ostlund,8483500,BUF,20232024,C,19,,,,2026-08-07
61,Noah Ostlund,8483500,BUF,20242025,C,20,0.0,10.55,8,2026-08-07
61,Noah Ostlund,8483500,BUF,20252026,C,21,0.45,13.967,60,2026-08-07
62,Tanner Pearson,8476871,BUF,20232024,L,31,0.2407,12.933,54,2026-08-07
62,Tanner Pearson,8476871,BUF,20242025,L,32,0.3462,11.783,78,2026-08-07
62,Tanner Pearson,8476871,BUF,20252026,L,33,0.2679,10.831,56,2026-08-07
63,Jack Quinn,8482097,BUF,20232024,R,22,0.7037,15.633,27,2026-08-07
63,Jack Quinn,8482097,BUF,20242025,R,23,0.527,14.867,74,2026-08-07
63,Jack Quinn,8482097,BUF,20252026,R,24,0.622,15.65,82,2026-08-07
64,Tage Thompson,8479420,BUF,20232024,C,26,0.7887,18.117,71,2026-08-07
64,Tage Thompson,8479420,BUF,20242025,C,27,0.9474,18.75,76,2026-08-07
64,Tage Thompson,8479420,BUF,20252026,C,28,1.0,19.25,81,2026-08-07
65,Alex Tuch,8477949,BUF,20232024,R,27,0.7867,19.5,75,2026-08-07
65,Alex Tuch,8477949,BUF,20242025,R,28,0.8171,19.25,82,2026-08-07
65,Alex Tuch,8477949,BUF,20252026,R,29,0.8354,19.0,79,2026-08-07
66,Jason Zucker,8475722,BUF,20232024,L,32,0.4638,13.82,69,2026-08-07
66,Jason Zucker,8475722,BUF,20242025,L,33,0.726,16.0,73,2026-08-07
66,Jason Zucker,8475722,BUF,20252026,L,34,0.7258,15.617,62,2026-08-07
67,Bowen Byram,8481524,BUF,20232024,D,22,0.3973,20.343,73,2026-08-07
67,Bowen Byram,8481524,BUF,20242025,D,23,0.4634,22.7,82,2026-08-07
67,Bowen Byram,8481524,BUF,20252026,D,24,0.5122,22.333,82,2026-08-07
68,Rasmus Dahlin,8480839,BUF,20232024,D,23,0.7284,25.417,81,2026-08-07
68,Rasmus Dahlin,8480839,BUF,20242025,D,24,0.9315,24.233,73,2026-08-07
68,Rasmus Dahlin,8480839,BUF,20252026,D,25,0.961,24.183,77,2026-08-07
69,Ryan Johnson,8481564,BUF,20232024,D,22,0.1707,13.867,41,2026-08-07
69,Ryan Johnson,8481564,BUF,20242025,D,23,0.0,17.667,3,2026-08-07
69,Ryan Johnson,8481564,BUF,20252026,D,24,0.0,9.0,3,2026-08-07
70,Michael Kesselring,8480891,BUF,20232024,D,24,0.3231,15.8,65,2026-08-07
70,Michael Kesselring,8480891,BUF,20242025,D,25,0.3537,17.683,82,2026-08-07
70,Michael Kesselring,8480891,BUF,20252026,D,26,0.0588,13.4,34,2026-08-07
71,Zach Metsa,8484305,BUF,20232024,D,25,,,,2026-08-07
71,Zach Metsa,8484305,BUF,20242025,D,26,,,,2026-08-07
71,Zach Metsa,8484305,BUF,20252026,D,27,0.1395,10.967,43,2026-08-07
72,Owen Power,8482671,BUF,20232024,D,21,0.4342,22.917,76,2026-08-07
72,Owen Power,8482671,BUF,20242025,D,22,0.5063,21.317,79,2026-08-07
72,Owen Power,8482671,BUF,20252026,D,23,0.358,21.65,81,2026-08-07
73,Mattias Samuelsson,8480807,BUF,20232024,D,23,0.1707,20.5,41,2026-08-07
73,Mattias Samuelsson,8480807,BUF,20242025,D,24,0.2258,19.3,62,2026-08-07
73,Mattias Samuelsson,8480807,BUF,20252026,D,25,0.5256,22.833,78,2026-08-07
74,Luke Schenn,8474568,BUF,20232024,D,34,0.1111,15.183,63,2026-08-07
74,Luke Schenn,8474568,BUF,20242025,D,35,0.0921,15.955,76,2026-08-07
74,Luke Schenn,8474568,BUF,20252026,D,36,0.14,13.657,50,2026-08-07
75,Logan Stanley,8479378,BUF,20232024,D,25,0.08,13.767,25,2026-08-07
75,Logan Stanley,8479378,BUF,20242025,D,26,0.2222,15.583,63,2026-08-07
75,Logan Stanley,8479378,BUF,20252026,D,27,0.3421,16.697,76,2026-08-07
76,Conor Timmins,8479982,BUF,20232024,D,25,0.4,16.017,25,2026-08-07
76,Conor Timmins,8479982,BUF,20242025,D,26,0.2206,16.917,68,2026-08-07
76,Conor Timmins,8479982,BUF,20252026,D,27,0.2051,18.767,39,2026-08-07
77,Mikael Backlund,8474150,CGY,20232024,C,34,0.4756,19.233,82,2026-08-07
77,Mikael Backlund,8474150,CGY,20242025,C,35,0.4211,18.733,76,2026-08-07
77,Mikael Backlund,8474150,CGY,20252026,C,36,0.5244,17.95,82,2026-08-07
78,John Beecher,8481556,CGY,20232024,C,22,0.1923,10.617,52,2026-08-07
78,John Beecher,8481556,CGY,20242025,C,23,0.141,11.283,78,2026-08-07
78,John Beecher,8481556,CGY,20252026,C,24,0.2,10.428,35,2026-08-07
