player_id,full_name,nhl_player_id,capwages_nhlid,cap_hit_M,season,cap_quality,cap_note,source_url,fetched_at
69,Quinn Hughes,8480800,8480800,7.8500,2025-26,ok,,https://capwages.com/players/quinn-hughes,2026-05-27T16:15:20.795074+00:00
70,Brock Faber,8482122,8482122,8.5000,2025-26,ok,,https://capwages.com/players/brock-faber,2026-05-27T16:15:20.795074+00:00
71,Cole Caufield,8481540,8481540,7.8500,2025-26,ok,,https://capwages.com/players/cole-caufield,2026-05-27T16:15:20.795074+00:00
72,Nick Suzuki,8480018,8480018,7.8750,2025-26,ok,,https://capwages.com/players/nick-suzuki,2026-05-27T16:15:20.795074+00:00
73,Juraj Slafkovsky,8483515,8483515,7.6000,2025-26,ok,,https://capwages.com/players/juraj-slafkovsky,2026-05-27T16:15:20.795074+00:00
74,Mike Matheson,8476875,8476875,4.8750,2025-26,ok,,https://capwages.com/players/mike-matheson,2026-05-27T16:15:20.795074+00:00
75,Noah Dobson,8480865,8480865,9.5000,2025-26,ok,,https://capwages.com/players/noah-dobson,2026-05-27T16:15:20.795074+00:00
76,Steven Stamkos,8474564,8474564,8.0000,2025-26,ok,,https://capwages.com/players/steven-stamkos,2026-05-27T16:15:20.795074+00:00
77,Ryan O'Reilly,8475158,8475158,4.5000,2025-26,ok,,https://capwages.com/players/ryan-o-reilly,2026-05-27T16:15:20.795074+00:00
78,Cole O'Hara,8483696,8483696,0.8975,2025-26,ok,,https://capwages.com/players/cole-o-hara,2026-05-27T16:15:20.795074+00:00
79,Brady Skjei,8476869,8476869,7.0000,2025-26,ok,,https://capwages.com/players/brady-skjei,2026-05-27T16:15:20.795074+00:00
80,Nick Perbix,8480246,8480246,2.7500,2025-26,ok,,https://capwages.com/players/nick-perbix,2026-05-27T16:15:20.795074+00:00
81,Timo Meier,8478414,8478414,8.8000,2025-26,ok,,https://capwages.com/players/timo-meier,2026-05-27T16:15:20.795074+00:00
82,Nico Hischier,8480002,8480002,7.2500,2025-26,ok,,https://capwages.com/players/nico-hischier,2026-05-27T16:15:20.795074+00:00
83,Dawson Mercer,8482110,8482110,4.0000,2025-26,ok,,https://capwages.com/players/dawson-mercer,2026-05-27T16:15:20.795074+00:00
84,Dougie Hamilton,8476462,8476462,9.0000,2025-26,ok,,https://capwages.com/players/dougie-hamilton,2026-05-27T16:15:20.795074+00:00
85,Jonas Siegenthaler,8478399,8478399,3.4000,2025-26,ok,,https://capwages.com/players/jonas-siegenthaler,2026-05-27T16:15:20.795074+00:00
86,Bo Horvat,8477500,8477500,8.5000,2025-26,ok,,https://capwages.com/players/bo-horvat,2026-05-27T16:15:20.795074+00:00
87,Simon Holmstrom,8481601,8481601,3.6250,2025-26,ok,,https://capwages.com/players/simon-holmstrom,2026-05-27T16:15:20.795074+00:00
88,Victor Eklund,8485388,8485388,0.9750,2025-26,ok,,https://capwages.com/players/victor-eklund,2026-05-27T16:15:20.795074+00:00
89,Adam Pelech,8476917,8476917,5.7500,2025-26,ok,,https://capwages.com/players/adam-pelech,2026-05-27T16:15:20.795074+00:00
90,Matthew Schaefer,8485366,8485366,0.9750,2025-26,ok,,https://capwages.com/players/matthew-schaefer,2026-05-27T16:15:20.795074+00:00
91,Mika Zibanejad,8476459,8476459,8.5000,2025-26,ok,,https://capwages.com/players/mika-zibanejad,2026-05-27T16:15:20.795074+00:00
92,Gabriel Perreault,8484210,8484210,0.9417,2025-26,ok,,https://capwages.com/players/gabe-perreault,2026-05-27T16:15:20.795074+00:00
93,Alexis Lafrenière,8482109,8482109,7.4500,2025-26,ok,,https://capwages.com/players/alexis-lafreniere,2026-05-27T16:15:20.795074+00:00
94,Adam Fox,8479323,8479323,9.5000,2025-26,ok,,https://capwages.com/players/adam-fox,2026-05-27T16:15:20.795074+00:00
95,Vladislav Gavrikov,8478882,8478882,7.0000,2025-26,ok,,https://capwages.com/players/vladislav-gavrikov,2026-05-27T16:15:20.795074+00:00
96,Warren Foegele,8477998,8477998,3.5000,2025-26,ok,,https://capwages.com/players/warren-foegele,2026-05-27T16:15:20.795074+00:00
97,Tim Stützle,8482116,8482116,8.3500,2025-26,ok,,https://capwages.com/players/tim-stutzle,2026-05-27T16:15:20.795074+00:00
98,Drake Batherson,8480208,8480208,4.9750,2025-26,ok,,https://capwages.com/players/drake-batherson,2026-05-27T16:15:20.795074+00:00
99,Thomas Chabot,8478469,8478469,8.0000,2025-26,ok,,https://capwages.com/players/thomas-chabot,2026-05-27T16:15:20.795074+00:00
100,Jordan Spence,8481606,8481606,1.5000,2025-26,ok,,https://capwages.com/players/jordan-spence,2026-05-27T16:15:20.795074+00:00
101,Travis Konecny,8478439,8478439,8.7500,2025-26,ok,,https://capwages.com/players/travis-konecny,2026-05-27T16:15:20.795074+00:00
102,Christian Dvorak,8477989,8477989,5.4000,2025-26,ok,,https://capwages.com/players/christian-dvorak,2026-05-27T16:15:20.795074+00:00
103,Alex Bump,8483731,8483731,0.9500,2025-26,ok,,https://capwages.com/players/alex-bump,2026-05-27T16:15:20.795074+00:00
104,Travis Sanheim,8477948,8477948,6.2500,2025-26,ok,,https://capwages.com/players/travis-sanheim,2026-05-27T16:15:20.795074+00:00
