player_id,full_name,wikipedia_slug_tried,wikipedia_slug_chosen,wikidata_qid,wiki_match,wiki_12mo,fetch_date,window_start,window_end
114,Dmitry Orlov,Dmitry_Orlov,Dmitry_Orlov_(ice_hockey),Q1232790,occupation,36055,2026-05-27,20250526,20260526
115,Shakir Mukhamadullin,Shakir_Mukhamadullin,Shakir_Mukhamadullin,Q98961212,occupation,50088,2026-05-27,20250526,20260526
116,Jordan Eberle,Jordan_Eberle,Jordan_Eberle,Q975074,occupation,77529,2026-05-27,20250526,20260526
117,Bobby McMann,Bobby_McMann,Bobby_McMann,Q116176450,occupation,54532,2026-05-27,20250526,20260526
118,Matty Beniers,Matty_Beniers,Matty_Beniers,Q107035397,occupation,73413,2026-05-27,20250526,20260526
119,Vince Dunn,Vince_Dunn,Vince_Dunn,Q41611395,occupation,40923,2026-05-27,20250526,20260526
120,Adam Larsson,Adam_Larsson,Adam_Larsson,Q350284,occupation,32858,2026-05-27,20250526,20260526
121,Robert Thomas,Robert_Thomas,Robert_Thomas_(ice_hockey),Q30689603,occupation,74956,2026-05-27,20250526,20260526
122,Dylan Holloway,Dylan_Holloway,Dylan_Holloway,Q100166692,occupation,33239,2026-05-27,20250526,20260526
123,Jimmy Snuggerud,Jimmy_Snuggerud,Jimmy_Snuggerud,Q81907130,occupation,45419,2026-05-27,20250526,20260526
124,Philip Broberg,Philip_Broberg,Philip_Broberg,Q64764843,occupation,23806,2026-05-27,20250526,20260526
125,Logan Mailloux,Logan_Mailloux,Logan_Mailloux,Q107632114,occupation,83768,2026-05-27,20250526,20260526
126,Nikita Kucherov,Nikita_Kucherov,Nikita_Kucherov,Q1693680,occupation,200940,2026-05-27,20250526,20260526
127,Anthony Cirelli,Anthony_Cirelli,Anthony_Cirelli,Q50300676,occupation,44916,2026-05-27,20250526,20260526
128,Brandon Hagel,Brandon_Hagel,Brandon_Hagel,Q87544687,occupation,156987,2026-05-27,20250526,20260526
129,J.J. Moser,J.J._Moser,J._J._Moser,Q63457572,occupation,26965,2026-05-27,20250526,20260526
130,Darren Raddysh,Darren_Raddysh,Darren_Raddysh,Q98755073,occupation,61189,2026-05-27,20250526,20260526
131,John Tavares,John_Tavares,John_Tavares,Q537353,occupation,202794,2026-05-27,20250526,20260526
132,William Nylander,William_Nylander,William_Nylander,Q14614517,occupation,197299,2026-05-27,20250526,20260526
133,Easton Cowan,Easton_Cowan,Easton_Cowan,Q120084181,occupation,130117,2026-05-27,20250526,20260526
134,Morgan Rielly,Morgan_Rielly,Morgan_Rielly,Q552306,occupation,151310,2026-05-27,20250526,20260526
135,Troy Stecher,Troy_Stecher,Troy_Stecher,Q27571839,occupation,70102,2026-05-27,20250526,20260526
136,Clayton Keller,Clayton_Keller,Clayton_Keller,Q22278556,occupation,181694,2026-05-27,20250526,20260526
137,Lawson Crouse,Lawson_Crouse,Lawson_Crouse,Q18763985,occupation,27083,2026-05-27,20250526,20260526
138,Nick Schmaltz,Nick_Schmaltz,Nick_Schmaltz,Q17180924,occupation,60847,2026-05-27,20250526,20260526
139,Mikhail Sergachev,Mikhail_Sergachev,Mikhail_Sergachev,Q21622801,occupation,62818,2026-05-27,20250526,20260526
140,MacKenzie Weegar,MacKenzie_Weegar,MacKenzie_Weegar,Q29246743,occupation,47696,2026-05-27,20250526,20260526
